No,시기,칼럼 주제,사례,지역,유형,개념화
1,2026.02.12,초현실주의의 거대한 무대,달리 극장미술관,스페인,T5,예술가 자기연출형 미술관
2,2026.01.29,역사·음악 결절점,루돌피눔·드보르자크 홀,체코,T1,제국→민족국가 전환 공연장
3,2026.01.15,현대 문화정책 상징,무파·버르토크 홀,헝가리,T3,문화지구 재생 앵커형
4,2026.01.01,산업이 문화가 되다,매캘란 에스테이트,스코틀랜드,T4,F&B 문화공간화
5,2025.12.18,유산과 현대 설치 공명,아비뇽 교황청,프랑스,T3,유산-현대미술 접합
6,2025.12.04,음악을 시각화한 건축,카탈루냐 음악당,스페인,T1,민족주의 건축 상징
7,2025.11.20,공동주택 유토피아 실험,라 무랄라 로하,스페인,T5,기하학 공동체 실험
8,2025.11.06,지식의 민주화 건축,바스콘셀로스 도서관,멕시코,T4,사회적 건축 모델
9,2025.10.23,도시 공공재 예술,오슬로 오페라하우스,노르웨이,T3,워터프론트 재생 상징
10,2025.10.09,빛의 건축 미학,킴벨 미술관,미국,T5,자연광 중심 경험형
11,2025.09.25,와이너리 복합화,샤토 라코스테,프랑스,T4,예술-와이너리 융합
12,2025.09.11,건축가 집적 미술관,휴스턴 미술관지구,미국,T4,문화 네트워크형 확장
13,2025.08.28,페스티벌-컨벤션 복합,KKL 루체른,스위스,T1,음향 중심 복합 랜드마크
14,2025.08.14,작곡가 전용 극장,바이로이트,독일,T2,단일 예술가 성지화
15,2025.07.31,리조트 음악관광,베르비에 페스티벌,스위스,T2,계절 역전형 문화전략
16,2025.07.17,유산 공간 축제화,베로나 아레나,이탈리아,T2,고대 유적 공연화
17,2025.07.03,기업 캠퍼스 문화화,노바티스 캠퍼스,스위스,T4,기업 건축 클러스터
18,2025.06.19,음악도시 전통,게반트하우스,독일,T1,도시 음악 정체성
19,2025.06.05,항구 재생,미디어하펜,독일,T3,항만 재생형 문화지구
20,2025.05.22,음향 전통 공연장,콘세르트헤바우,네덜란드,T1,shoebox 정점 모델
21,2025.05.08,루이비통 재단,Fondation LV,프랑스,T4,럭셔리 기업 재단
22,2025.04.24,부활절 축제,바덴바덴,독일,T2,오프시즌 전략
23,2025.04.10,빈 콘체르트하우스,Wiener Konzerthaus,오스트리아,T1,이중 공연장 도시모델
24,2025.03.27,글로벌 아트페어,TEFAF,네덜란드,T6,아트마켓 플랫폼
25,2025.03.13,소국 브랜딩,룩셈부르크 필하모니,룩셈부르크,T1,국가 상징 공연장
26,2025.02.27,디자인 성지,비트라 캠퍼스,독일,T4,건축 집적 클러스터
27,2025.02.13,남반구 허브,MASP,브라질,T4,라틴아메리카 허브
28,2025.01.30,산업유산 복합개발,배터시 발전소,영국,T3,혼합형 재생 모델
29,2025.01.16,기업 후원 공연장,롤렉스 사례,유럽,T4,민간 자본 공연장 생태계
30,2025.01.02,신년음악회 상징,무지크페어라인,오스트리아,T1,국가 브랜드 공연장
31,2024.12.26,레지던시 공연,스타라이트 익스프레스,영국,T2,상설 콘텐츠 모델
32,2024.12.12,대학 미술관,하버드 미술관,미국,T4,교육-전시 결합
33,2024.11.28,와이너리 예술화,마르케스 데 리스칼,스페인,T4,건축-관광 융합
34,2024.11.14,재단형 복합문화,굴벤키안,포르투갈,T4,재단형 통합 모델
35,2024.10.31,글로벌 분관,루브르·퐁피두,다국가,T6,미술관 프랜차이즈화
36,2024.10.17,감각 건축,발스 온천,스위스,T5,촉각·재료 중심
37,2024.10.03,교향악단 기반,미네소타 오케스트라홀,미국,T1,도시 음악 정체성
38,2024.09.19,국가 광장,소칼로,멕시코,T3,기념 광장 관광화
39,2024.09.05,팝 레지던시,메세 뮌헨,독일,T2,이벤트 도시 브랜딩
40,2024.08.22,수상무대,브레겐츠,오스트리아,T2,자연 앵커형 축제
41,2024.08.08,귀족형 축제,글라인드본,영국,T2,사적 영지 축제
42,2024.07.25,극지 랜드마크,하르파,아이슬란드,T3,지리 상징 랜드마크
43,2024.07.11,항만 아이콘,엘프필하모니,독일,T3,장기 프로젝트 재생
44,2024.06.27,사립 컬렉션,반스 재단,미국,T4,컬렉터 기반
45,2024.06.13,몰입형 공연,스피어,미국,T6,기술 중심 엔터테인먼트
46,2024.05.30,창작 지원 재단,루마 재단,프랑스,T4,지역 재생 플랫폼
47,2024.05.16,예술과학 도시,발렌시아,스페인,T3,도시 정체성 프로젝트
48,2024.05.02,철도 유산 전환,함부르거 반호프,독일,T3,산업유산 미술관
49,2024.04.18,유산 내 현대 삽입,로마 사례,이탈리아,T5,역사도시 현대 건축 전략
50,2024.04.04,벙커 미술관,독일 사례,독일,T3,군사 유산 전환 모델
