주차,단계,주제,학습 내용,사용 자료,학생 활동 · 과제
1,Ⅰ 현장을 본다,오리엔테이션과 개념 정의 — 스마트 관광이란 무엇인가,강의 운영·평가 안내. 전자관광(e-Tourism)과 스마트 관광의 차이 — 온라인 예약에서 실시간 반응으로. 흔한 오개념을 먼저 깨고 시작한다.,파트 05 이론 슬라이드 01 「정의」,스마트관광도시 12곳 중 한 곳 직접 눌러보기 · 한 줄 메모
2,Ⅰ 현장을 본다,네 기둥과 스마트 관광 기술 — 개념의 뼈대 세우기,목적지·경험·비즈니스·거버넌스의 네 기둥. 기술군(모바일·IoT·빅데이터·AI·AR/VR)을 기술 목록이 아니라 데이터의 흐름으로 설명한다.,파트 05 슬라이드 02·03 / 교재 1–3장,교재 1장 스마트 도시·스마트 관광·스마트 관광 도시 개념 구분 정리
3,Ⅰ 현장을 본다,"국내 스마트관광도시 12곳 — 같은 사업, 다른 얼굴",울산·인천·수원·양양·경주·대구·여수·청주·남원·통영·인제·용인. 네 기둥이 실제로는 AR 체험·할인쿠폰·맞춤코스·편의기능 네 서비스로 나타남을 확인한다.,파트 01 공식 플랫폼 / 국내 스마트관광도시 지도,도시 1곳 배정 — 브랜드명·대표 서비스·강조점 조사
4,Ⅰ 현장을 본다,심층 사례 용인 — 한 도시를 끝까지 따라가기,플랫폼(공사 소개·시 포털)·연구(시정연구원 인포그래픽·Y-Wellness 보고서)·홍보(조아용TV·언론보도) 세 갈래. 무엇을 만들었고 무엇을 근거로 삼았고 어떻게 알렸는가.,파트 01 용인 참고 웹사이트 6종,[과제 1 제출] 배정 도시 1곳 「도시 카드」 A4 1장 — 세 갈래 구조로
5,Ⅱ 견준다,유럽 스마트관광 수도 — 공모라는 형식이 말하는 것,EU가 해마다 뽑는 European Capital of Smart Tourism. 심사 4대 영역 접근성·지속가능성·디지털화·문화유산과 창의성 — 디지털화는 넷 중 하나일 뿐이다.,파트 02 / 핵심 영상 16초·36–52초 / 역대 수상 도시 2019–2026,역대 수상 도시 훑기 — 반복되는 유형 찾기
6,Ⅱ 견준다,보르도 · 발렌시아 심층 — 규모가 아니라 관리 방식,"2022년 수상 두 도시를 같은 네 축으로 해부. 심화보고서가 짚은 시사점 셋 — 무장애 접근성, 전통 농업문화의 지역경제화, 맞춤형 앱과 ICT 융합.",파트 02 / 한국관광공사 파리지사 심화보고서 한국어 8쪽,“왜 기술이 아니라 접근성이 1번 부문인가” 조별 토론
7,Ⅱ 견준다,유럽 사례집 읽기 — 89쪽을 4영역 44사례로,"저소득층 접근성, 무장애 산책로·해변, 관광 흐름 분산(피렌체는 기술로·포르투는 도시계획으로), 관광세, 알리페이 도입. 홍보물이 아니라 심사를 통과하려고 쓴 문서다.",파트 02 한국어 마인드맵·표 / 인터랙티브 지도 29개 도시,사례 1건 선택 → 한국 어느 지역에 어떻게 적용할지 반쪽 분량
8,Ⅱ 견준다,[중간평가] 한국 ↔ 유럽 비교 발표,조별 발표(조당 8분). 같은 이름의 사업을 두 대륙이 어떻게 다르게 정의하는지 4주차 도시 카드와 5–7주 유럽 자료를 맞붙여 논증한다. 질의응답 포함.,파트 01·02,[중간 리포트 제출] 비교 리포트 3–4쪽 + 발표 슬라이드
9,Ⅲ 만든다,여행자 여정과 스마트 관광도시 — 실습으로 넘어가는 다리,여행 전–중–후 여정의 각 지점을 어떤 기술이 손보는가. 앞서 본 44개 사례가 여정의 어느 지점에 붙는지 겹쳐 읽는다. 제작 실습 설계 원리 안내.,파트 05 슬라이드 04·05,안동시 24개 읍면동 중 담당 지역 배정 · 실습 안내서 예습
10,Ⅲ 만든다,제작 실습 ① 지도의 원리 — 우리는 지도를 만들지 않는다,"배경 산 음영은 실측 고도자료(Esri World Hillshade), 지형도는 OpenTopoMap. 인천도 수원도 지도를 만들지 않았고 가져다 쓴 위에 콘텐츠를 얹었다. 타일 좌표 {z}/{y}/{x}의 뜻.",파트 03 실습 안내서,실습 페이지 접속 · 배경지도 전환 · 좌표 3개 찍어보기
